Cenario,Nos,mean,std,count,sem,ci95,Modelo
1,100,99.60294545454545,0.5582748310033475,33,0.09718317396012609,0.19047902096184713,Dilatado_BR
1,500,98.53765151515151,0.4541305643212733,33,0.07905398413488553,0.15494580890437562,Dilatado_BR
1,1000,96.82328484848485,0.47154149812159574,33,0.08208483867884549,0.16088628381053716,Dilatado_BR
1,2000,94.0904909090909,0.457640097650187,33,0.07966491547028122,0.1561432343217512,Dilatado_BR
1,5000,86.0249,0.42701470407938164,33,0.07433371874475472,0.14569408873971926,Dilatado_BR
2,100,98.33309696969697,1.1065091169656183,33,0.19261851337498392,0.3775322862149685,Dilatado_BR
2,500,93.19051515151514,0.8736794989873348,33,0.1520880792402637,0.2980926353109169,Dilatado_BR
2,1000,87.47901515151514,0.6531763722003096,33,0.11370341179827632,0.2228586871246216,Dilatado_BR
2,2000,78.64755151515152,0.6541818010505647,33,0.11387843449575896,0.22320173161168755,Dilatado_BR
2,5000,60.41353636363636,0.3918148612691515,33,0.06820621261834084,0.13368417673194805,Dilatado_BR
1,100,99.65345827272728,0.12328226725772205,33,0.02146068810512813,0.042062948686051135,Fisico_BR
1,500,98.3700483939394,0.19240343075649902,33,0.033493138223925766,0.0656465509188945,Fisico_BR
1,1000,96.078158,0.48644329560211746,33,0.08467890865378123,0.16597066096141122,Fisico_BR
1,2000,82.70804075757576,0.7349159606003463,33,0.12793244774573825,0.250747597581647,Fisico_BR
1,5000,41.63565415625,0.603688103395429,32,0.10671798790813837,0.2091672562999512,Fisico_BR
1,100,92.79542727272727,2.004965476054503,33,0.3490196903436677,0.6840785930735886,Fisico_EU
1,500,73.23614848484848,1.716742920678793,33,0.2988465835103028,0.5857393036801934,Fisico_EU
1,1000,56.98997878787879,1.6000716844796319,33,0.2785367281952993,0.5459319872627866,Fisico_EU
1,2000,38.26197272727273,0.8888809271609182,33,0.15473430822390002,0.30327924411884405,Fisico_EU
1,5000,15.81021212121212,0.563679775425272,33,0.09812405401566553,0.19232314587070443,Fisico_EU
2,100,95.05952424242425,1.5847412367698832,33,0.2758680397932348,0.5407013579947403,Fisico_EU
2,500,78.69605757575758,1.9458816136635706,33,0.3387345100738452,0.6639196397447366,Fisico_EU
2,1000,57.28998484848485,1.7125290943005183,33,0.29811305049176845,0.5843015789638661,Fisico_EU
2,2000,18.783248484848485,0.48715495168453066,33,0.08480279207645433,0.1662134724698505,Fisico_EU
2,5000,1.5358757575757576,0.1512353401166189,33,0.026326693505163732,0.05160031927012091,Fisico_EU
